Catalyst Products Export 
Report Generated at: Tue Oct 14 2025 23:45:49 GMT+0800 (China Standard Time)
ASIN,Product Name,Brand,Category,Revenue (Monthly),Units Sold (Monthly),Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight,Variant Differences
"B0FMF9Q46P","HIDLY Halloween Demon Costumes Pop Singer Embroidery Coat Top Shorts Costume Dance Stage Outfit Set (Green 11-12 Years)","HIDLY","Clothing, Shoes & Jewelry","$648,364.36","21,641","$29.96","$5.48","$24.48","145","2","7","2","08/14/2025","Aorene","5.0","11.811 x 9.843 x 3.937 in","Large standard","0.772 lb","Color Name, Size Name"
"B0F9ZR2V74","Levi's Women's 318 Shaping Wide-Leg Jeans (Also Available in Plus)  (New) Darkest Sky (Stretch)  31 Short","Levi's","Clothing, Shoes & Jewelry","$796,400.50","16,370","$48.65","$14.91","$33.74","149","4","7","1","05/27/2025","Amazon.com","5.0","1.654 x 13.858 x 14.685 in","Large standard","1.433 lb","Apparel Fabric Stretch, Color, Size"
"B09K3RHCLX","Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean  Aaron  42W x 32L","Wrangler Authentics","Clothing, Shoes & Jewelry","$935,225.46","28,323","$33.02","$12.15","$20.87","181","12","5","1","09/02/2025","Amazon.com","3.9","2.24 x 11.85 x 13.11 in","Large standard","1.87 lb","N.A."
"B07HNVLQNY","Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean  Dark Denim  34W x 34L","Wrangler Authentics","Clothing, Shoes & Jewelry","$948,088.75","28,175","$33.65","$11.91","$21.74","181","26","5","1","09/02/2025","Amazon.com","4.7","2.992 x 8.74 x 11.417 in","Large standard","1.623 lb","N.A."
"B09K3PLGBV","Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean  Leon  36W x 29L","Wrangler Authentics","Clothing, Shoes & Jewelry","$951,319.15","28,271","$33.65","$13.04","$20.61","181","36","5","1","09/02/2025","Amazon.com","4.4","2.44 x 11.57 x 15.91 in","Large standard","1.499 lb","N.A."
"B0DL8ZDNX4","Brooks Men’s Adrenaline GTS 24 Supportive Running Shoe - Black/Biscuit - 14 Medium","Brooks","Clothing, Shoes & Jewelry","$1,457,992.25","12,155","$119.95","$26.46","$93.49","181","2","3","7","10/28/2024","Zappos","5.0","5.2 x 8.46 x 14.57 in","Large standard","2.05 lb","Color, Size"
"B0F9FY7LYR","WIHOLL Long Sleeve Shirts for Women Color Block Raglan Womens Tops Casual Fall Outfits for Women 2025 Early Fall Fashion Clothing Cute Basic Tees Trendy Clothes School Outfits for Teachers White L","WIHOLL","Clothing, Shoes & Jewelry","$138,955.83","16,367","$8.49","$7.26","$1.23","192","33","7","1","07/18/2025","WIHOLL FASHION","4.8","0.98 x 10.04 x 12.68 in","Large standard","0.6 lb","Color Name, Size Name"
"B0FSQSGHYG","HIDLY Cute Halloween Demon Costumes Pop Singer Embroidery Coat Top Shorts Costume Dance Stage Outfit Set (Black  9-10 Years)","HIDLY","Clothing, Shoes & Jewelry","$1,110,916.80","33,705","$32.96","$5.93","$27.03","193","20","7","3","09/30/2025","HPJX","4.3","14.17 x 7.87 x 1.57 in","Large standard","12.35 oz","Color Name, Size Name"
"B0D3JCMQFK","Brooks Women’s Ghost 16 Weatherized Neutral Running Shoe - Almond Peach/Coconut/Falcon - 5 Medium","Brooks","Clothing, Shoes & Jewelry","$4,171,722.90","37,942","$109.95","$23.35","$86.60","201","28","5","3","05/07/2024","Charm City Run","4.6","4.33 x 6.61 x 10.87 in","Large standard","1.171 lb","Color, Size"
"B0F92M9LFC","WIHOLL Blouses for Women Dressy Casual Long Sleeve Shirts for Women Business Casual Tops Mock Neck Womens Fall Fashion 2025 Work Clothes Teacher Outfits Clothing Boho Tops Floral Print S","WIHOLL","Clothing, Shoes & Jewelry","$205,568.55","17,145","$11.99","$8.56","$3.43","201","29","7","1","07/18/2025","WIHOLL FASHION","4.5","0.79 x 10.04 x 12.44 in","Large standard","0.571 lb","Color Name, Size Name"
"B0DPF7NPBN","FUNYYZO Women's Wide Leg Pants High Elastic Waisted in The Back Business Work Trousers Long Straight Suit Pants","FUNYYZO","Clothing, Shoes & Jewelry","$1,189,302.60","29,740","$39.99","$13.04","$26.95","218","5","7","1","12/02/2024","Funyyzo","4.3","1.54 x 11.5 x 14.41 in","Large standard","0.86 lb","Color, Size"
